order_id,order_time,pickup_zip,delivery_zip,service_type,client_name,driver_id,dispatch_time,pickup_time,delivery_time,promised_eta,on_time,exception_notes,driver_idle_min,fuel_cost_usd,redelivery_flag
ORD-25011,01/08/2025 14:41,02103,02061,RUSH,Boston Medical Center,D013,2025-01-08 15:18:00,2025-01-08 15:36:00,2025-01-08 16:48:00,2025-01-08 15:56:00,Y,"wrong address on manifest, corrected enroute",33,33.17,0
ORD-25012,2025/01/14 04:34,01851,02067,routine,Brigham & Women's,D031,2025-01-14 04:50:00,2025-01-14 05:03:00,,2025-01-14 09:13:00,Y,,34,27.84,0
ORD-25013,03/14/2025 13:31,02052,02131,Same-Day,Providence Health,D004,2025-03-14 13:54:00,2025-03-14 14:07:00,2025-03-14 14:29:00,2025-03-14 17:20:00,Y,specimen temp excursion possible - driver reports cooler malfunction,37,10.73,0
ORD-25014,03/19/2025 05:55,01862,02200,Stat,St. Elizabeth's Medical,UNASSIGNED,2025-03-19 06:03:00,2025-03-19 06:55:00,2025-03-19 08:03:00,2025-03-19 06:54:00,Y,"driver called in sick mid-route, reassigning trips",25,17.76,0
ORD-25015,03/28/2025 13:29,02155,02110,STAT,St. Elizabeth's Medical,D007,2025-03-28 13:36:00,2025-03-28 13:59:00,2025-03-28 15:22:00,2025-03-28 14:10:00,Y,,20,9.78,0
ORD-25016,2025/03/12 14:39,02177,02045,ROUTINE,Lowell General,D020,2025-03-12 15:24:00,2025-03-12 15:42:00,2025-03-12 16:10:00,2025-03-12 20:00:00,N,lab closed early today per client,43,15.99,0
ORD-25017,2025/02/04 11:16,02187,02107,STAT,Children's Hospital,D003,2025-02-04 11:19:00,2025-02-04 12:18:00,2025-02-04 13:15:00,2025-02-04 11:51:00,Y,"driver ran out of dry ice, needs resupply",32,8.25,0
ORD-25018,03/31/2025 18:34,02071,02019,ROUTINE,Children's Hospital,D020,2025-03-31 19:00:00,2025-03-31 19:12:00,2025-03-31 21:08:00,2025-03-31 22:37:00,Y,called client re specimen integrity - awaiting callback,40,18.11,0
ORD-25019,2025/03/22 15:59,02189,02124,same-day,Brigham & Women's,D002,2025-03-22 16:13:00,2025-03-22 16:44:00,2025-03-22 18:33:00,2025-03-22 19:24:00,Y,,20,30.88,0
ORD-25020,2025/01/15 10:02,02030,02129,routine,Childrens Hospital,D015,2025-01-15 10:19:00,2025-01-15 11:11:00,2025-01-15 11:29:00,2025-01-15 13:19:00,Y,driver cannot locate parking at hospital,27,17.89,0
ORD-25021,03/11/2025 09:01,02045,02126,ROUTINE,MGH,UNASSIGNED,2025-03-11 09:42:00,2025-03-11 10:14:00,2025-03-11 11:24:00,2025-03-11 14:36:00,Y,recipient not available at delivery location,29,10.87,0
ORD-25022,2025-01-07 14:00:00,02177,02196,ROUTINE,Cape Cod Hospital,D013,2025-01-07 14:26:00,2025-01-07 14:40:00,2025-01-07 15:50:00,2025-01-07 19:39:00,Y,,12,14.56,0
ORD-25023,2025-02-10 14:20:00,02052,02198,STAT,Children's Hospital,D025,2025-02-10 14:34:00,2025-02-10 15:20:00,2025-02-10 16:53:00,2025-02-10 14:50:00,Y,traffic accident on route 1 delay,32,24.82,0
ORD-25024,02-12-25 11:28 AM,02119,02188,Routine,Cape Cod Hospital,D006,2025-02-12 11:49:00,2025-02-12 12:41:00,2025-02-12 14:01:00,2025-02-12 15:28:00,Y,specimen labeled incorrectly by client,17,6.05,0
ORD-25025,03/03/2025 13:49,02105,02035,ROUTINE,South Shore Hospital,D032,2025-03-03 14:17:00,2025-03-03 14:36:00,,2025-03-03 17:16:00,Y,specimen labeled incorrectly by client,16,27.81,0
ORD-25026,2025/03/02 04:15,01862,02186,STAT,Childrens Hospital,D036,2025-03-02 04:56:00,2025-03-02 05:54:00,2025-03-02 06:49:00,2025-03-02 05:08:00,Y,GPS routing error sent driver to wrong building,40,9.83,0
ORD-25027,03/03/2025 10:48,02136,02140,Routine,Tufts Med Center,D016,2025-03-03 11:08:00,2025-03-03 11:22:00,2025-03-03 12:33:00,2025-03-03 15:13:00,Y,"driver ran out of dry ice, needs resupply",10,12.25,0
ORD-25028,03/31/2025 07:13,02104,02149,ROUTINE,Children's Hospital,D027,2025-03-31 07:40:00,2025-03-31 08:27:00,,2025-03-31 12:40:00,Y,"driver stuck in traffic on 93, running ~20 min late",27,17.56,0
ORD-25029,2025-02-24 12:47:00,02132,02132,ROUTINE,MGH,D002,2025-02-24 13:14:00,2025-02-24 14:06:00,2025-02-24 15:04:00,2025-02-24 16:29:00,Y,,13,22.39,0
ORD-25030,,02138,02177,STAT,Childrens Hospital,D017,2025-02-21 13:09:00,2025-02-21 13:32:00,2025-02-21 14:28:00,2025-02-21 13:40:00,Y,dispatcher note: double-check temp on this one before logging,31,7.24,0
ORD-25031,2025/01/04 15:03,02062,02132,ROUTINE,Emerson Hospital,D002,2025-01-04 15:21:00,2025-01-04 15:32:00,2025-01-04 16:12:00,2025-01-04 20:04:00,Y,delayed at security checkpoint - id verification required,18,13.08,0
ORD-25032,2025/02/18 07:38,02149,02116,Routine,Brigham & Women's,D007,2025-02-18 08:18:00,2025-02-18 08:47:00,2025-02-18 09:05:00,2025-02-18 12:14:00,Y,"elevator down at 15 Elm St, driver using stairs",17,27.64,0
ORD-25033,03-23-25 08:44 AM,02187,02052,ROUTINE,Boston Medical Center,D037,2025-03-23 08:49:00,2025-03-23 09:33:00,2025-03-23 10:32:00,2025-03-23 13:53:00,Y,"driver stuck in traffic on 93, running ~20 min late",31,8.04,0
ORD-25034,2025-02-17 13:53:00,01876,02180,STAT,Tufts Med Center,D018,2025-02-17 14:35:00,2025-02-17 15:19:00,2025-02-17 17:17:00,2025-02-17 14:49:00,Y,driver cannot locate parking at hospital,25,32.33,0
ORD-25035,01/13/2025 08:28,02111,02200,ROUTINE,Labcorp Inc,D032,2025-01-13 08:51:00,2025-01-13 09:32:00,2025-01-13 10:10:00,2025-01-13 12:55:00,Y,"client called to confirm - specimen critical, needs STAT upgrade",22,21.81,0
ORD-25036,2025-01-26 05:46:00,02126,02071,Stat,Tufts Medical,D032,2025-01-26 06:17:00,,2025-01-26 08:24:00,2025-01-26 06:38:00,Y,"driver called in sick mid-route, reassigning trips",42,23.04,0
ORD-25037,2025-02-15 10:47:00,02066,02054,rush,Quest Diagnostics,D008,2025-02-15 11:02:00,2025-02-15 11:19:00,2025-02-15 12:14:00,2025-02-15 12:31:00,Y,traffic accident on route 1 delay,35,24.25,0
ORD-25038,2025/03/10 13:06,02052,02133,RUSH,Quest Diagnostics,UNASSIGNED,2025-03-10 13:43:00,,,2025-03-10 14:24:00,Y,package refused by receiving staff - no signature authority,45,20.94,0
ORD-25039,2025-01-03 12:30:00,02061,02127,Same-Day,MGH,D031,2025-01-03 12:40:00,2025-01-03 12:54:00,,2025-01-03 15:50:00,Y,package refused by receiving staff - no signature authority,14,36.3,0
ORD-25040,2025-01-12 23:07:00,02105,02026,ROUTINE,St. Elizabeth's Medical,D034,2025-01-12 23:34:00,2025-01-13 00:12:00,2025-01-13 01:24:00,2025-01-13 03:56:00,Y,"client called to confirm - specimen critical, needs STAT upgrade",8,29.29,0
ORD-25041,01-28-25 01:16 PM,01879,02134,STAT,NE Labs,D027,2025-01-28 13:47:00,2025-01-28 14:35:00,,2025-01-28 13:55:00,Y,"elevator down at 15 Elm St, driver using stairs",34,12.32,0
ORD-25042,2025-02-04 15:40:00,02176,02129,Rush,BioReference Labs,D010,2025-02-04 16:00:00,,2025-02-04 18:19:00,2025-02-04 16:59:00,Y,,41,19.21,0
ORD-25043,2025-03-02 14:44:00,02047,02192,ROUTINE,Childrens Hospital,D003,2025-03-02 15:14:00,2025-03-02 15:44:00,,2025-03-02 18:42:00,Y,,41,5.19,0
ORD-25044,03/29/2025 16:36,02155,02126,rush,Emerson Hospital,D018,2025-03-29 16:50:00,2025-03-29 17:27:00,2025-03-29 18:56:00,2025-03-29 17:41:00,Y,GPS routing error sent driver to wrong building,26,8.0,0
ORD-25045,2025-01-22 09:44:00,02140,02170,routine,BioReference Labs,UNASSIGNED,2025-01-22 09:52:00,2025-01-22 10:18:00,2025-01-22 11:13:00,2025-01-22 14:27:00,Y,,5,22.68,0
ORD-25046,2025-02-23 04:33:00,02155,02191,ROUTINE,Northeast Laboratory,D036,2025-02-23 04:44:00,2025-02-23 05:22:00,2025-02-23 06:13:00,2025-02-23 07:40:00,Y,"client called to confirm - specimen critical, needs STAT upgrade",20,14.91,0
ORD-25047,01/03/2025 12:05,02186,02116,rush,Boston Medical Center,D010,2025-01-03 12:39:00,2025-01-03 13:07:00,2025-01-03 14:53:00,2025-01-03 13:58:00,Y,"client changed pickup time, driver redirected",20,9.35,0
ORD-25048,01-26-25 07:32 PM,01864,02109,RUSH,Children's Hospital,D033,2025-01-26 19:52:00,2025-01-26 20:02:00,2025-01-26 22:02:00,2025-01-26 21:09:00,Y,"driver called in sick mid-route, reassigning trips",36,19.46,0
ORD-25049,03-04-25 09:35 AM,02072,02186,SAME-DAY,Brigham and Womens,D016,2025-03-04 10:14:00,2025-03-04 10:38:00,2025-03-04 11:42:00,2025-03-04 12:15:00,Y,"elevator down at 15 Elm St, driver using stairs",29,26.73,0
ORD-25050,2025/03/26 21:31,01863,02192,Same-Day,Quest Diag,D029,2025-03-26 21:40:00,,2025-03-26 23:41:00,2025-03-27 01:22:00,Y,package refused by receiving staff - no signature authority,9,36.97,0
ORD-25051,2025-02-14 13:25:00,02188,02149,routine,BioReference Labs,D021,2025-02-14 14:08:00,2025-02-14 15:06:00,2025-02-14 16:52:00,2025-02-14 19:03:00,N,"wrong zip code on order, corrected",23,29.52,0
ORD-25052,2025/01/14 15:45,02108,02125,ROUTINE,Northeast Labs,D004,2025-01-14 16:06:00,2025-01-14 16:39:00,2025-01-14 17:39:00,2025-01-14 20:30:00,Y,,16,7.15,0
ORD-25053,2025-02-19 13:15:00,02129,02121,stat,Emerson Hospital,D017,2025-02-19 14:00:00,2025-02-19 14:39:00,2025-02-19 14:55:00,2025-02-19 13:50:00,N,called client re specimen integrity - awaiting callback,42,36.73,0
ORD-25054,2025/03/01 17:12,02188,02189,STAT,Labcorp Inc,D037,2025-03-01 17:33:00,,2025-03-01 19:45:00,2025-03-01 17:54:00,Y,delayed at security checkpoint - id verification required,8,29.46,0
ORD-25055,2025-02-07 15:14:00,02066,02132,ROUTINE,St. Elizabeth's Medical,D009,2025-02-07 15:57:00,2025-02-07 16:47:00,2025-02-07 17:14:00,2025-02-07 20:06:00,N,called client re specimen integrity - awaiting callback,13,14.39,0
ORD-25056,2025-01-24 07:50:00,02067,02195,ROUTINE,MGH,D017,2025-01-24 08:23:00,2025-01-24 08:51:00,2025-01-24 10:49:00,2025-01-24 11:19:00,Y,"wrong address on manifest, corrected enroute",14,12.06,0
ORD-25057,2025/03/29 14:25,02176,02199,RUSH,Labcorp Inc,UNASSIGNED,2025-03-29 15:02:00,2025-03-29 15:41:00,2025-03-29 16:11:00,2025-03-29 15:41:00,Y,,45,8.13,0
ORD-25058,2025/01/31 11:39,02126,02148,SAME-DAY,Mass General Hospital,D041,2025-01-31 12:11:00,2025-01-31 12:40:00,2025-01-31 14:24:00,2025-01-31 13:44:00,Y,lab closed early today per client,36,12.37,0
ORD-25059,2025-03-11 07:29:00,02200,02066,ROUTINE,BioReference Labs,D010,2025-03-11 07:58:00,2025-03-11 08:14:00,2025-03-11 09:52:00,2025-03-11 11:40:00,N,called client re specimen integrity - awaiting callback,18,36.34,0
ORD-25060,2025-01-14 21:23:00,02138,02152,STAT,MGH,D008,2025-01-14 21:55:00,2025-01-14 22:47:00,2025-01-14 23:13:00,2025-01-14 21:53:00,N,"pickup not ready, driver waiting 15+ min",20,30.86,1
ORD-25061,2025/03/13 08:13,02032,02149,Routine,St. Elizabeth's Medical,UNASSIGNED,2025-03-13 08:25:00,2025-03-13 09:09:00,2025-03-13 09:40:00,2025-03-13 14:02:00,Y,package refused by receiving staff - no signature authority,5,30.91,0
ORD-25062,03/18/2025 09:11,01863,02062,Rush,Boston Medical Center,D031,2025-03-18 09:42:00,2025-03-18 10:15:00,2025-03-18 12:09:00,2025-03-18 10:43:00,Y,"client called to confirm - specimen critical, needs STAT upgrade",7,34.94,0
ORD-25063,2025-03-27 11:29:00,01821,02108,same-day,Labcorp Inc,D007,2025-03-27 12:03:00,,2025-03-27 14:27:00,2025-03-27 14:46:00,N,package refused by receiving staff - no signature authority,22,24.11,0
ORD-25064,02/19/2025 23:33,02118,02026,Rush,South Shore Hospital,D036,2025-02-19 23:49:00,2025-02-20 00:27:00,2025-02-20 01:37:00,2025-02-20 01:25:00,Y,GPS routing error sent driver to wrong building,11,14.97,0
ORD-25065,02-03-25 09:09 AM,02113,02109,STAT,NE Labs,D007,2025-02-03 09:35:00,2025-02-03 09:53:00,2025-02-03 11:51:00,2025-02-03 09:56:00,Y,"driver called in sick mid-route, reassigning trips",12,33.77,0
ORD-25066,02/25/2025 17:46,02050,02025,RUSH,Boston Medical Center,D014,2025-02-25 17:58:00,2025-02-25 18:38:00,2025-02-25 20:17:00,2025-02-25 19:40:00,Y,recipient not available at delivery location,22,31.54,0
ORD-25067,2025-03-14 21:52:00,02142,02043,ROUTINE,St. Elizabeth's Medical,D018,2025-03-14 21:56:00,2025-03-14 22:23:00,2025-03-14 23:01:00,2025-03-15 02:18:00,Y,"driver vehicle breakdown, transfer to DD010 in progress",41,6.83,0
ORD-25068,03-24-25 09:05 PM,02026,02156,Rush,Quest Diag,D020,2025-03-24 21:28:00,2025-03-24 22:14:00,2025-03-25 00:08:00,2025-03-24 22:14:00,N,"client called to confirm - specimen critical, needs STAT upgrade",8,13.62,0
ORD-25069,03/05/2025 13:26,02155,02193,STAT,Children's Hospital,D038,2025-03-05 14:00:00,2025-03-05 14:52:00,2025-03-05 16:14:00,2025-03-05 14:15:00,N,traffic accident on route 1 delay,24,30.21,0
ORD-25070,2025-02-08 09:00:00,02107,02126,STAT,BioReference Labs,D033,2025-02-08 09:38:00,,2025-02-08 11:50:00,2025-02-08 09:31:00,Y,driver reports ice on roads in reading area,9,23.79,0
ORD-25071,2025-03-16 10:40:00,01860,02170,STAT,Quest Diag,D040,2025-03-16 11:12:00,,2025-03-16 13:28:00,2025-03-16 11:17:00,Y,redelivery needed: building locked,38,33.66,0
ORD-25072,02/14/2025 08:49,02119,02038,STAT,Tufts Med Center,D023,2025-02-14 09:14:00,2025-02-14 10:05:00,2025-02-14 11:53:00,2025-02-14 09:23:00,Y,"driver vehicle breakdown, transfer to DD039 in progress",14,26.46,0
ORD-25073,2025-01-24 20:40:00,02155,02200,Routine,Childrens Hospital,D037,2025-01-24 21:24:00,2025-01-24 22:13:00,2025-01-24 23:49:00,2025-01-25 01:00:00,N,"wrong address on manifest, corrected enroute",35,14.64,0
ORD-25074,01/09/2025 09:04,02109,02105,STAT,Quest Diagnostics,D006,2025-01-09 09:46:00,2025-01-09 10:28:00,2025-01-09 11:59:00,2025-01-09 10:04:00,Y,,7,31.63,0
ORD-25075,2025-03-26 07:38:00,01876,02108,rush,Quest Diag,D006,2025-03-26 08:13:00,,2025-03-26 10:11:00,2025-03-26 09:06:00,Y,"client called to confirm - specimen critical, needs STAT upgrade",15,35.25,0
ORD-25076,02-20-25 10:21 AM,01840,02035,ROUTINE,NE Labs,D036,2025-02-20 10:48:00,2025-02-20 11:14:00,2025-02-20 12:05:00,2025-02-20 15:55:00,Y,"pickup not ready, driver waiting 15+ min",10,9.24,0
ORD-25077,02-15-25 09:41 AM,02102,02119,ROUTINE,NE Labs,D025,2025-02-15 10:25:00,2025-02-15 10:56:00,2025-02-15 12:52:00,2025-02-15 15:36:00,Y,"wrong address on manifest, corrected enroute",32,5.11,0
ORD-25078,02/10/2025 07:13,02163,02190,stat,Boston Med Ctr,D019,2025-02-10 07:22:00,2025-02-10 08:21:00,2025-02-10 09:40:00,2025-02-10 07:59:00,N,"pickup not ready, driver waiting 15+ min",44,17.12,1
ORD-25079,2025/03/31 15:51,02150,02184,STAT,LabCorp,D016,2025-03-31 16:22:00,2025-03-31 16:50:00,2025-03-31 18:23:00,2025-03-31 16:28:00,Y,lab closed early today per client,35,11.0,0
ORD-25080,2025-03-29 19:28:00,02050,02156,ROUTINE,Children's Hospital,D013,2025-03-29 20:09:00,,2025-03-29 21:07:00,2025-03-30 00:03:00,Y,recipient not available at delivery location,38,14.05,0
ORD-25081,2025-01-22 08:57:00,02185,02180,STAT,Mass General Hospital,D023,2025-01-22 09:01:00,2025-01-22 09:14:00,2025-01-22 10:22:00,2025-01-22 09:39:00,Y,called client re specimen integrity - awaiting callback,170,32.61,0
ORD-25082,03/26/2025 09:09,02050,02188,ROUTINE,Boston Med Ctr,D031,2025-03-26 09:40:00,2025-03-26 09:50:00,,2025-03-26 13:04:00,Y,"driver ran out of dry ice, needs resupply",43,8.22,0
ORD-25083,02/07/2025 08:07,02105,02038,Routine,Childrens Hospital,D032,2025-02-07 08:48:00,2025-02-07 08:59:00,2025-02-07 10:22:00,2025-02-07 11:43:00,Y,"driver stuck in traffic on 93, running ~20 min late",44,23.62,0
ORD-25084,2025-01-25 13:05:00,02067,02109,Same-Day,BioReference Labs,D033,2025-01-25 13:43:00,2025-01-25 14:17:00,,2025-01-25 15:54:00,Y,driver cannot locate parking at hospital,6,6.76,0
ORD-25085,02/01/2025 15:40,02129,02062,Routine,Boston Med Ctr,D035,2025-02-01 16:04:00,2025-02-01 16:55:00,2025-02-01 18:54:00,2025-02-01 20:38:00,Y,"client changed pickup time, driver redirected",45,9.02,0
ORD-25086,03/01/2025 03:12,02021,02106,RUSH,Quest Diagnostics,D035,2025-03-01 03:45:00,2025-03-01 03:57:00,2025-03-01 04:44:00,2025-03-01 04:34:00,Y,specimen temp excursion possible - driver reports cooler malfunction,26,31.28,0
ORD-25087,2025-02-26 18:47:00,02101,02150,same-day,Tufts Medical,D024,2025-02-26 19:23:00,2025-02-26 19:38:00,,2025-02-26 22:04:00,Y,"driver vehicle breakdown, transfer to DD035 in progress",23,7.18,0
ORD-25088,2025-03-27 09:28:00,02106,02125,ROUTINE,LabCorp,D023,2025-03-27 10:10:00,2025-03-27 10:37:00,2025-03-27 11:47:00,2025-03-27 12:42:00,N,"wrong zip code on order, corrected",30,31.34,0
ORD-25089,01-05-25 07:38 AM,02108,02105,STAT,Mass General Hospital,D024,2025-01-05 08:04:00,,2025-01-05 09:54:00,2025-01-05 08:22:00,Y,called client re specimen integrity - awaiting callback,33,23.73,0
ORD-25090,2025-03-10 09:20:00,02038,02116,STAT,Brigham & Women's,D025,2025-03-10 09:58:00,2025-03-10 10:24:00,2025-03-10 10:54:00,2025-03-10 09:56:00,Y,lab closed early today per client,36,9.05,0
ORD-25091,01-11-25 10:57 AM,01851,02052,Same-Day,Quest Diag,D005,2025-01-11 11:35:00,2025-01-11 12:03:00,2025-01-11 13:27:00,2025-01-11 14:28:00,Y,"elevator down at 15 Elm St, driver using stairs",45,16.61,0
ORD-25092,01-30-25 06:12 AM,02035,02191,STAT,BioReference Labs,D030,2025-01-30 06:50:00,2025-01-30 07:39:00,,2025-01-30 06:54:00,Y,pickup completed but paperwork missing from package,35,30.27,0
ORD-25093,2025-03-16 05:20:00,02109,02187,ROUTINE,LabCorp,D036,2025-03-16 06:03:00,2025-03-16 06:24:00,2025-03-16 07:54:00,2025-03-16 10:28:00,Y,specimen temp excursion possible - driver reports cooler malfunction,12,14.69,0
ORD-25094,01/22/2025 09:45,02200,02194,SAME-DAY,NE Labs,D041,2025-01-22 10:23:00,2025-01-22 10:41:00,2025-01-22 11:31:00,2025-01-22 11:56:00,Y,"driver vehicle breakdown, transfer to DD038 in progress",42,26.57,0
ORD-25095,2025-03-20 09:59:00,02184,02104,STAT,Emerson Hospital,D017,2025-03-20 10:43:00,2025-03-20 11:42:00,2025-03-20 12:23:00,2025-03-20 10:29:00,Y,"wrong zip code on order, corrected",39,36.55,0
ORD-25096,03-04-25 08:51 AM,02053,02186,STAT,Northeast Laboratory,D027,2025-03-04 09:24:00,2025-03-04 09:47:00,2025-03-04 11:01:00,2025-03-04 09:48:00,Y,pickup completed but paperwork missing from package,27,8.88,0
ORD-25097,02/18/2025 11:06,02111,02118,RUSH,Mass General Hospital,D004,2025-02-18 11:27:00,2025-02-18 12:16:00,2025-02-18 13:20:00,2025-02-18 13:03:00,N,"pickup not ready, driver waiting 15+ min",41,10.86,1
ORD-25098,03/08/2025 11:56,01810,02113,Same-Day,Tufts Med Center,D016,2025-03-08 12:12:00,,2025-03-08 14:13:00,2025-03-08 15:12:00,Y,"wrong zip code on order, corrected",35,4.77,0
ORD-25099,01/15/2025 10:56,02067,02071,Rush,Northeast Laboratory,D037,2025-01-15 11:34:00,2025-01-15 12:07:00,,2025-01-15 12:28:00,Y,"driver ran out of dry ice, needs resupply",22,25.38,0
ORD-25100,2025-03-21 06:06:00,02171,02150,ROUTINE,LabCorp,D013,2025-03-21 06:47:00,2025-03-21 07:22:00,,2025-03-21 09:41:00,Y,,35,9.49,0
ORD-25101,2025-03-08 07:59:00,01879,02169,same-day,Cape Cod Hospital,D038,2025-03-08 08:23:00,2025-03-08 09:05:00,2025-03-08 10:24:00,2025-03-08 10:37:00,Y,"driver stuck in traffic on 93, running ~20 min late",28,8.17,0
ORD-25102,2025/02/24 12:50,02190,02053,ROUTINE,St. Elizabeth's Medical,D038,2025-02-24 13:29:00,,2025-02-24 15:09:00,2025-02-24 18:04:00,Y,"client called to confirm - specimen critical, needs STAT upgrade",29,27.3,0
ORD-25103,01/06/2025 12:44,01810,02184,RUSH,Boston Med Ctr,D014,2025-01-06 13:13:00,2025-01-06 14:12:00,2025-01-06 15:31:00,2025-01-06 14:38:00,Y,specimen temp excursion possible - driver reports cooler malfunction,13,23.29,0
ORD-25104,03/27/2025 11:24,01886,02186,SAME-DAY,Quest Diag,D017,2025-03-27 12:06:00,2025-03-27 12:28:00,2025-03-27 13:44:00,2025-03-27 14:02:00,N,lab closed early today per client,23,27.62,0
ORD-25105,2025/03/04 09:59,02150,02140,RUSH,Providence Health,D025,2025-03-04 10:27:00,2025-03-04 10:59:00,2025-03-04 12:58:00,2025-03-04 11:17:00,N,"elevator down at 15 Elm St, driver using stairs",10,19.32,0
ORD-25106,2025-03-04 08:52:00,02198,02199,ROUTINE,Boston Med Ctr,D038,2025-03-04 09:10:00,2025-03-04 09:23:00,2025-03-04 10:09:00,2025-03-04 14:35:00,Y,recipient not available at delivery location,31,20.33,0
ORD-25107,2025/03/30 15:00,02197,02124,Rush,Tufts Medical,D013,2025-03-30 15:21:00,2025-03-30 15:49:00,2025-03-30 16:45:00,2025-03-30 16:05:00,Y,specimen labeled incorrectly by client,39,32.99,0
ORD-25108,2025-01-06 18:11:00,02186,02126,SAME-DAY,Northeast Laboratory,D026,2025-01-06 18:45:00,2025-01-06 19:42:00,2025-01-06 20:20:00,2025-01-06 22:03:00,N,lab closed early today per client,41,35.6,0
ORD-25109,2025-03-01 22:34:00,02192,02120,routine,Childrens Hospital,D008,2025-03-01 22:58:00,2025-03-01 23:54:00,2025-03-02 00:29:00,2025-03-02 02:21:00,N,"pickup not ready, driver waiting 15+ min",23,29.87,1
ORD-25110,2025-03-24 18:52:00,02059,02113,Rush,Boston Medical Center,D009,2025-03-24 19:25:00,,2025-03-24 20:46:00,2025-03-24 20:20:00,Y,"pickup not ready, driver waiting 15+ min",24,23.69,0
ORD-25111,02/04/2025 13:44,02141,02118,rush,Brigham & Women's,D033,2025-02-04 14:06:00,2025-02-04 14:23:00,2025-02-04 16:06:00,2025-02-04 15:07:00,Y,specimen labeled incorrectly by client,13,19.74,0
ORD-25112,2025-03-20 09:44:00,02113,02067,ROUTINE,Lowell General,D016,2025-03-20 10:25:00,2025-03-20 10:40:00,2025-03-20 12:35:00,2025-03-20 14:16:00,N,delayed at security checkpoint - id verification required,12,22.85,0
ORD-25113,03/16/2025 12:10,02120,02184,STAT,Brigham and Womens,D032,2025-03-16 12:18:00,2025-03-16 12:56:00,2025-03-16 14:16:00,2025-03-16 12:56:00,Y,delayed at security checkpoint - id verification required,8,27.04,0
ORD-25114,02/10/2025 14:25,01801,02066,stat,NE Labs,D023,2025-02-10 14:32:00,2025-02-10 14:45:00,,2025-02-10 15:24:00,Y,lab closed early today per client,31,9.04,0
ORD-25115,2025/03/25 21:41,02071,02156,rush,Labcorp Inc,D035,2025-03-25 21:52:00,,2025-03-26 00:02:00,2025-03-25 23:06:00,Y,pickup completed but paperwork missing from package,19,29.83,0
ORD-25116,2025-02-09 11:46:00,02122,02156,routine,Mass General Hospital,D010,2025-02-09 12:06:00,2025-02-09 13:02:00,,2025-02-09 17:35:00,Y,dispatcher note: double-check temp on this one before logging,6,6.75,0
ORD-25117,03-19-25 03:38 AM,02190,02107,Stat,Northeast Laboratory,D015,2025-03-19 04:15:00,2025-03-19 05:13:00,,2025-03-19 04:24:00,Y,specimen labeled incorrectly by client,41,24.53,0
